ESTAÇÃO,DESCRIÇÃO,ENDEREÇO,LATITUTE,LONGITUDE
ANR,ESTAÇÃO ACESSO NORTE,"AVENIDA RUA DOS RODOVIARIOS S/N, BARROS REIS",-12.968858981060457,-38.47720672875342
ARP,ESTAÇÃO AEROPORTO,"AVENIDA SANTOS DUMONT, S/N,  ESTRADA  DO COCO, ",-12.904170267418174,-38.34118473910246
BNC,ESTAÇÃO BONOCÔ,"AVENIDA MARIO LEAL FERREIRA, BROTAS",-12.983797332010989,-38.48363025453738
BTS,ESTAÇÃO BROTAS,"AVENIDA TV. AMARAL MUNIZ, METRÔ VIAD. F. COSTAS, MATATU ",-12.97933529102304,-38.49911280419603
CAB,ESTAÇÃO CAB,"AVENIDA ANTONIO CARLOS MAGALHÃES S/N , CAB",-12.955643129033229,-38.42898843383626
CPV,ESTAÇÃO CAMPO DA PÓLVORA,"AVENIDA JOANA ANGÉLICA, 11, NAZARÉ",-12.979004218939854,-38.50777666369613
DTN,ESTAÇÃO DETRAN,"AVENIDA ANTONIO CARLOS MAGALHÃES, S/N, ",-12.978020222638945,-38.4710002402274
FBY,ESTAÇÃO FLAMBOYANT,"AVENIDA LUIS VIANA, TROBOGY",-12.937978848846091,-38.405675380602624
IMB,ESTAÇÃO IMBUÍ,"AVENIDA LUIS VIANA, PARALELA",-12.964510051260485,-38.43624726371675
JUA,ESTAÇÃO BOM JUÁ,"RUA RUA DO BOM JUÁ, S/N, BILHETERIA BOM JUA",-12.940704050276295,-38.47055131851954
LPA,ESTAÇÃO LAPA,"RUA AV.  VALE DO TORORÓ, S/N, BARRIS",-12.982664613610122,-38.51215634823384
MSG,ESTAÇÃO MUSSURUNGA,"AVENIDA LUIS VIANA, PARALELA",-12.921489615017313,-38.35907355608851
PAZ,ESTAÇÃO BAIRRO DA PAZ,"AVENIDA LUIS VIANA, PARALELA",-12.9256881975788,-38.38121656000831
PNB,ESTAÇÃO PERNAMBUÉS,"AVENIDA LUIS VIANA, S/N,  PARALELA ",-12.975631704199584,-38.457790598111096
PRJ,ESTAÇÃO PIRAJÁ,"RUA RUA DA INDONESIA, S/N, ESTAÇÃO PIRAJA",-12.924340586692605,-38.46759352713477
PTC,ESTAÇÃO PITUAÇU,"AVENIDA LUIS VIANA, PARALELA",-12.945450737049372,-38.42133834977191
RDV,ESTAÇÃO RODOVIÁRIA,"AVENIDA ANTONIO CARLOS MAGALHÃES S/N - IGUATEMI (ESTAÇ, IGUATEMI",-12.978508580009091,-38.46353616093987
RTI,ESTAÇÃO RETIRO,"RUA BAIXA DE SANTO ANTÔNIO, SÃO GONÇALO RETIRO",-12.956015635046024,-38.47221141026922
TBY,ESTAÇÃO TAMBURUGY,"AVENIDA LUIS VIANA , PARALELA",-12.934629842570402,-38.39454431773902
AGC,ESTAÇÃO AGUAS CLARAS," ""RUA Doutor Edson Bezerril""",-12.895570327622185,-38.44420831000392
CPN,ESTAÇÃO CAMPINAS," ""RUA da Bolívia - Granjas Rurais Pres. Vargas""",-12.915890308048828,-38.4625092312483
