interval,node,loading,n-boarding,n-alighting,n-vehicles,n-routes,n-trips,average_speed
2024-03-01 05:00:00,100009577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 05:05:00,100009577,14.0,1.0,0.0,2.0,2.0,2.0,0.0
2024-03-01 05:10:00,100009577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 05:15:00,100009577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 05:20:00,100009577,2.0,2.0,0.0,1.0,1.0,1.0,0.0
2024-03-01 05:25:00,100009577,18.0,0.0,0.0,1.0,1.0,1.0,0.0
2024-03-01 05:30:00,100009577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 05:35:00,100009577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 05:40:00,100009577,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2024-03-01 05:45:00,100009577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
